CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F989,F991,F992,F993,F994,F995,
,,,,,Car or van availability : Total\ Car or van availability - Unit : Households,Car or van availability : No cars or vans in household - Unit : Households,Car or van availability : 1 car or van in household - Unit : Households,Car or van availability : 2 cars or vans in household - Unit : Households,Car or van availability : 3 cars or vans in household - Unit : Households,Car or van availability : 4 or more cars or vans in household - Unit : Households,
115633,E00056823,E00056823,Output Areas and Small Areas,OASA,136,29,55,38,7,7,
115634,E00056825,E00056825,Output Areas and Small Areas,OASA,109,17,41,40,7,4,
115635,E00056827,E00056827,Output Areas and Small Areas,OASA,93,31,38,20,3,1,
115636,E00056828,E00056828,Output Areas and Small Areas,OASA,94,14,42,32,3,3,
115637,E00056829,E00056829,Output Areas and Small Areas,OASA,108,22,46,32,4,4,
115638,E00056830,E00056830,Output Areas and Small Areas,OASA,124,54,52,15,2,1,
115639,E00056831,E00056831,Output Areas and Small Areas,OASA,108,15,53,37,3,0,
115640,E00056832,E00056832,Output Areas and Small Areas,OASA,123,21,59,30,8,5,
115641,E00056833,E00056833,Output Areas and Small Areas,OASA,95,8,42,38,7,0,
115642,E00056834,E00056834,Output Areas and Small Areas,OASA,169,12,73,75,4,5,
115643,E00056835,E00056835,Output Areas and Small Areas,OASA,136,15,65,42,11,3,
115644,E00056836,E00056836,Output Areas and Small Areas,OASA,121,19,56,39,5,2,
115645,E00056837,E00056837,Output Areas and Small Areas,OASA,99,7,55,29,5,3,
115646,E00056838,E00056838,Output Areas and Small Areas,OASA,118,15,50,47,4,2,
115647,E00056839,E00056839,Output Areas and Small Areas,OASA,158,68,71,14,5,0,
115648,E00056840,E00056840,Output Areas and Small Areas,OASA,148,89,48,9,1,1,
115649,E00056841,E00056841,Output Areas and Small Areas,OASA,124,22,75,21,5,1,
115650,E00056842,E00056842,Output Areas and Small Areas,OASA,125,16,67,34,6,2,
115651,E00056843,E00056843,Output Areas and Small Areas,OASA,142,19,76,39,6,2,
115652,E00056845,E00056845,Output Areas and Small Areas,OASA,117,52,43,17,5,0,
115653,E00056846,E00056846,Output Areas and Small Areas,OASA,167,105,41,17,3,1,
115654,E00056847,E00056847,Output Areas and Small Areas,OASA,159,77,67,13,1,1,
115655,E00056848,E00056848,Output Areas and Small Areas,OASA,112,68,33,9,0,2,
115656,E00056849,E00056849,Output Areas and Small Areas,OASA,132,85,42,2,0,3,
115657,E00056850,E00056850,Output Areas and Small Areas,OASA,116,59,44,10,2,1,
115658,E00056851,E00056851,Output Areas and Small Areas,OASA,133,51,54,18,7,3,
115659,E00056852,E00056852,Output Areas and Small Areas,OASA,197,78,89,26,4,0,
115660,E00056853,E00056853,Output Areas and Small Areas,OASA,128,47,52,25,4,0,
115661,E00056854,E00056854,Output Areas and Small Areas,OASA,111,34,58,18,1,0,
