CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Dependent children : With dependent children - Long-term health problem or disability; number of people : 1 person in household with a long-term health problem or disability - Unit : Households,Dependent children : No dependent children - Long-term health problem or disability; number of people : 1 person in household with a long-term health problem or disability - Unit : Households
30279,E01011338,Leeds 064A,Lower Super Output Areas and Data Zones,LSOADZ,49,175
30280,E01011339,Leeds 060A,Lower Super Output Areas and Data Zones,LSOADZ,40,236
30281,E01011340,Leeds 060B,Lower Super Output Areas and Data Zones,LSOADZ,36,175
30282,E01011341,Leeds 061A,Lower Super Output Areas and Data Zones,LSOADZ,29,128
30283,E01011342,Leeds 060C,Lower Super Output Areas and Data Zones,LSOADZ,34,126
30284,E01011343,Leeds 061B,Lower Super Output Areas and Data Zones,LSOADZ,29,190
30285,E01011344,Leeds 065A,Lower Super Output Areas and Data Zones,LSOADZ,56,177
30286,E01011345,Leeds 061C,Lower Super Output Areas and Data Zones,LSOADZ,48,175
30287,E01011346,Leeds 060D,Lower Super Output Areas and Data Zones,LSOADZ,45,249
30288,E01011347,Leeds 065B,Lower Super Output Areas and Data Zones,LSOADZ,42,156
30289,E01011348,Leeds 065C,Lower Super Output Areas and Data Zones,LSOADZ,42,140
30290,E01011349,Leeds 065D,Lower Super Output Areas and Data Zones,LSOADZ,33,329
30291,E01011350,Leeds 034A,Lower Super Output Areas and Data Zones,LSOADZ,21,124
30292,E01011351,Leeds 034B,Lower Super Output Areas and Data Zones,LSOADZ,12,139
30293,E01011352,Leeds 034C,Lower Super Output Areas and Data Zones,LSOADZ,14,157
30294,E01011353,Leeds 034D,Lower Super Output Areas and Data Zones,LSOADZ,26,97
30295,E01011354,Leeds 038A,Lower Super Output Areas and Data Zones,LSOADZ,41,147
30296,E01011355,Leeds 038B,Lower Super Output Areas and Data Zones,LSOADZ,46,157
30297,E01011356,Leeds 042A,Lower Super Output Areas and Data Zones,LSOADZ,41,152
30298,E01011357,Leeds 038C,Lower Super Output Areas and Data Zones,LSOADZ,58,208
30299,E01011358,Leeds 042B,Lower Super Output Areas and Data Zones,LSOADZ,36,217
30300,E01011359,Leeds 042C,Lower Super Output Areas and Data Zones,LSOADZ,34,152
30301,E01011360,Leeds 042D,Lower Super Output Areas and Data Zones,LSOADZ,71,124
30302,E01011361,Leeds 042E,Lower Super Output Areas and Data Zones,LSOADZ,75,253
30303,E01011362,Leeds 081A,Lower Super Output Areas and Data Zones,LSOADZ,34,229
30304,E01011363,Leeds 071E,Lower Super Output Areas and Data Zones,LSOADZ,45,164
30305,E01011364,Leeds 085A,Lower Super Output Areas and Data Zones,LSOADZ,37,187
30306,E01011366,Leeds 082A,Lower Super Output Areas and Data Zones,LSOADZ,41,187
30307,E01011368,Leeds 082C,Lower Super Output Areas and Data Zones,LSOADZ,28,157
30308,E01011369,Leeds 090E,Lower Super Output Areas and Data Zones,LSOADZ,33,198
30309,E01011370,Leeds 082D,Lower Super Output Areas and Data Zones,LSOADZ,36,122
30310,E01011371,Leeds 085B,Lower Super Output Areas and Data Zones,LSOADZ,27,273
30311,E01011372,Leeds 086C,Lower Super Output Areas and Data Zones,LSOADZ,48,103
30312,E01011373,Leeds 085C,Lower Super Output Areas and Data Zones,LSOADZ,52,120
30313,E01011374,Leeds 085D,Lower Super Output Areas and Data Zones,LSOADZ,24,111
30314,E01011375,Leeds 086D,Lower Super Output Areas and Data Zones,LSOADZ,59,117
30315,E01011376,Leeds 013A,Lower Super Output Areas and Data Zones,LSOADZ,20,138
30316,E01011377,Leeds 013B,Lower Super Output Areas and Data Zones,LSOADZ,13,155
30317,E01011378,Leeds 013C,Lower Super Output Areas and Data Zones,LSOADZ,26,200
30318,E01011379,Leeds 017A,Lower Super Output Areas and Data Zones,LSOADZ,34,233
30319,E01011380,Leeds 016A,Lower Super Output Areas and Data Zones,LSOADZ,15,116
30320,E01011381,Leeds 016B,Lower Super Output Areas and Data Zones,LSOADZ,16,88
30321,E01011382,Leeds 013D,Lower Super Output Areas and Data Zones,LSOADZ,24,123
30322,E01011383,Leeds 019A,Lower Super Output Areas and Data Zones,LSOADZ,30,189
