CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Car or van availability : Total\ Car or van availability - Unit : Households,Car or van availability : No cars or vans in household - Unit : Households,Car or van availability : 1 car or van in household - Unit : Households,Car or van availability : 2 cars or vans in household - Unit : Households,Car or van availability : 3 cars or vans in household - Unit : Households,Car or van availability : 4 or more cars or vans in household - Unit : Households
30267,E01011326,Leeds 046C,Lower Super Output Areas and Data Zones,LSOADZ,575,233,256,73,9,4
30268,E01011327,Leeds 052A,Lower Super Output Areas and Data Zones,LSOADZ,624,188,295,122,17,2
30269,E01011328,Leeds 052B,Lower Super Output Areas and Data Zones,LSOADZ,665,211,300,133,16,5
30270,E01011329,Leeds 051B,Lower Super Output Areas and Data Zones,LSOADZ,662,131,310,180,32,9
30271,E01011330,Leeds 051C,Lower Super Output Areas and Data Zones,LSOADZ,556,151,263,112,27,3
30272,E01011331,Leeds 058A,Lower Super Output Areas and Data Zones,LSOADZ,591,192,293,93,9,4
30273,E01011332,Leeds 046D,Lower Super Output Areas and Data Zones,LSOADZ,558,253,221,74,8,2
30274,E01011333,Leeds 051D,Lower Super Output Areas and Data Zones,LSOADZ,559,184,244,109,19,3
30275,E01011334,Leeds 058B,Lower Super Output Areas and Data Zones,LSOADZ,598,218,285,78,13,4
30276,E01011335,Leeds 052C,Lower Super Output Areas and Data Zones,LSOADZ,792,238,361,163,28,2
30277,E01011336,Leeds 058C,Lower Super Output Areas and Data Zones,LSOADZ,777,389,319,63,6,0
30278,E01011337,Leeds 058D,Lower Super Output Areas and Data Zones,LSOADZ,469,221,189,51,6,2
30279,E01011338,Leeds 064A,Lower Super Output Areas and Data Zones,LSOADZ,740,529,186,25,0,0
30280,E01011339,Leeds 060A,Lower Super Output Areas and Data Zones,LSOADZ,823,426,306,79,8,4
30281,E01011340,Leeds 060B,Lower Super Output Areas and Data Zones,LSOADZ,693,355,279,52,5,2
30282,E01011341,Leeds 061A,Lower Super Output Areas and Data Zones,LSOADZ,637,233,278,108,16,2
30283,E01011342,Leeds 060C,Lower Super Output Areas and Data Zones,LSOADZ,569,319,208,39,2,1
30284,E01011343,Leeds 061B,Lower Super Output Areas and Data Zones,LSOADZ,807,233,397,150,20,7
30285,E01011344,Leeds 065A,Lower Super Output Areas and Data Zones,LSOADZ,824,540,227,51,6,0
30286,E01011345,Leeds 061C,Lower Super Output Areas and Data Zones,LSOADZ,627,265,280,66,12,4
30287,E01011346,Leeds 060D,Lower Super Output Areas and Data Zones,LSOADZ,821,449,289,64,13,6
30288,E01011347,Leeds 065B,Lower Super Output Areas and Data Zones,LSOADZ,776,492,239,38,6,1
30289,E01011348,Leeds 065C,Lower Super Output Areas and Data Zones,LSOADZ,636,366,213,49,7,1
30290,E01011349,Leeds 065D,Lower Super Output Areas and Data Zones,LSOADZ,962,662,253,35,9,3
30291,E01011350,Leeds 034A,Lower Super Output Areas and Data Zones,LSOADZ,713,142,349,182,33,7
30292,E01011351,Leeds 034B,Lower Super Output Areas and Data Zones,LSOADZ,878,199,408,243,24,4
30293,E01011352,Leeds 034C,Lower Super Output Areas and Data Zones,LSOADZ,887,282,393,156,41,15
30294,E01011353,Leeds 034D,Lower Super Output Areas and Data Zones,LSOADZ,822,114,417,252,29,10
30295,E01011354,Leeds 038A,Lower Super Output Areas and Data Zones,LSOADZ,624,365,208,47,2,2
30296,E01011355,Leeds 038B,Lower Super Output Areas and Data Zones,LSOADZ,576,230,268,70,7,1
30297,E01011356,Leeds 042A,Lower Super Output Areas and Data Zones,LSOADZ,897,310,391,160,27,9
30298,E01011357,Leeds 038C,Lower Super Output Areas and Data Zones,LSOADZ,880,543,269,56,9,3
30299,E01011358,Leeds 042B,Lower Super Output Areas and Data Zones,LSOADZ,695,374,251,60,9,1
30300,E01011359,Leeds 042C,Lower Super Output Areas and Data Zones,LSOADZ,745,288,323,110,14,10
30301,E01011360,Leeds 042D,Lower Super Output Areas and Data Zones,LSOADZ,722,402,252,57,9,2
30302,E01011361,Leeds 042E,Lower Super Output Areas and Data Zones,LSOADZ,1090,730,294,57,8,1
30303,E01011362,Leeds 081A,Lower Super Output Areas and Data Zones,LSOADZ,974,504,358,104,5,3
30304,E01011363,Leeds 071E,Lower Super Output Areas and Data Zones,LSOADZ,735,454,224,49,6,2
30305,E01011364,Leeds 085A,Lower Super Output Areas and Data Zones,LSOADZ,785,464,259,54,7,1
30306,E01011366,Leeds 082A,Lower Super Output Areas and Data Zones,LSOADZ,757,451,255,46,3,2
30307,E01011368,Leeds 082C,Lower Super Output Areas and Data Zones,LSOADZ,611,409,175,26,1,0
30308,E01011369,Leeds 090E,Lower Super Output Areas and Data Zones,LSOADZ,727,310,309,94,10,4
30309,E01011370,Leeds 082D,Lower Super Output Areas and Data Zones,LSOADZ,698,333,254,90,15,6
30310,E01011371,Leeds 085B,Lower Super Output Areas and Data Zones,LSOADZ,728,510,192,21,3,2
30311,E01011372,Leeds 086C,Lower Super Output Areas and Data Zones,LSOADZ,521,343,145,23,7,3
30312,E01011373,Leeds 085C,Lower Super Output Areas and Data Zones,LSOADZ,574,334,203,28,7,2
30313,E01011374,Leeds 085D,Lower Super Output Areas and Data Zones,LSOADZ,595,317,229,46,3,0
30314,E01011375,Leeds 086D,Lower Super Output Areas and Data Zones,LSOADZ,689,433,199,46,9,2
30315,E01011376,Leeds 013A,Lower Super Output Areas and Data Zones,LSOADZ,623,60,256,246,49,12
30316,E01011377,Leeds 013B,Lower Super Output Areas and Data Zones,LSOADZ,607,95,261,201,44,6
30317,E01011378,Leeds 013C,Lower Super Output Areas and Data Zones,LSOADZ,685,303,254,115,11,2
30318,E01011379,Leeds 017A,Lower Super Output Areas and Data Zones,LSOADZ,768,280,342,129,14,3
30319,E01011380,Leeds 016A,Lower Super Output Areas and Data Zones,LSOADZ,679,60,290,275,43,11
30320,E01011381,Leeds 016B,Lower Super Output Areas and Data Zones,LSOADZ,509,43,215,193,49,9
30321,E01011382,Leeds 013D,Lower Super Output Areas and Data Zones,LSOADZ,662,90,339,189,31,13
30322,E01011383,Leeds 019A,Lower Super Output Areas and Data Zones,LSOADZ,742,187,339,169,41,6
30323,E01011384,Leeds 017B,Lower Super Output Areas and Data Zones,LSOADZ,660,147,304,168,35,6
30324,E01011385,Leeds 016C,Lower Super Output Areas and Data Zones,LSOADZ,525,61,213,198,33,20
30325,E01011386,Leeds 016D,Lower Super Output Areas and Data Zones,LSOADZ,621,85,251,224,46,15
30326,E01011388,Leeds 019B,Lower Super Output Areas and Data Zones,LSOADZ,643,172,270,175,22,4
30327,E01011390,Leeds 087A,Lower Super Output Areas and Data Zones,LSOADZ,612,166,272,146,24,4
30328,E01011391,Leeds 087B,Lower Super Output Areas and Data Zones,LSOADZ,726,170,342,170,34,10
30329,E01011392,Leeds 087C,Lower Super Output Areas and Data Zones,LSOADZ,643,132,285,179,33,14
30330,E01011393,Leeds 103C,Lower Super Output Areas and Data Zones,LSOADZ,693,124,274,233,49,13
30331,E01011394,Leeds 103D,Lower Super Output Areas and Data Zones,LSOADZ,497,98,188,167,31,13
